,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
test_loss,0.45113665,0.45113665,0.4311955,0.4311955,0.5068986,0.5068986,0.50577116,0.50577116,0.25588432,0.25588432,0.20860398,0.20860398,0.21901517,0.21901517,0.27559608,0.27559608,0.078958064,0.078958064,0.089213744,0.089213744,0.07692412,0.07692412,0.081879914,0.081879914,0.14757274,0.14757274,0.14606069,0.14606069,0.22075573,0.22075573,0.17502989,0.17502989
0,4.2510834,1.4069719,3.2554746,1.4339901,3.2987719,1.4579637,3.7594466,1.4473157,3.1054025,1.3867877,3.3254027,1.371616,3.3454897,1.4954855,3.2030864,1.3167123,3.2660618,1.2574748,3.7641323,1.2164785,3.4132082,1.3709748,4.1312613,1.5451341,3.7636225,1.3670903,3.2074652,1.565542,3.288532,1.2497705,3.1405141,1.3596958
1,2.4919693,1.2210175,2.2095249,1.185409,2.1631722,1.2332817,2.2491825,1.2001114,2.2683828,1.1641964,2.435077,1.1902506,2.3808124,1.2586365,2.5168211,1.2784506,2.3200605,1.1722223,2.6161814,1.1802325,2.513716,1.2329355,2.9509983,1.140341,2.569423,1.1814982,2.3703687,1.3476422,2.4295971,1.4120659,2.314605,1.2263479
2,2.2528343,1.1655066,1.9941002,1.192716,1.9864731,1.1420667,2.162984,1.147112,2.167475,1.3650753,2.346687,1.2130222,2.2393572,1.180789,2.417539,1.1578939,2.194005,1.1235442,2.351116,1.0629876,2.3075376,1.3062974,2.7803736,1.2015604,2.4704986,1.1598557,2.2583182,1.4603287,2.375946,1.1260206,2.2404046,1.3082876
3,2.1798468,1.1220217,1.9440222,1.1614699,1.85763,1.0985138,2.0002356,1.1970538,2.121497,1.1329772,2.2180474,1.1498084,2.1471753,1.2062216,2.1538572,1.1294671,2.1705282,1.0867364,2.2607272,1.073147,2.2618237,1.1749033,2.6451125,1.1245207,2.251271,1.6133529,2.1670785,1.164239,2.173697,1.1615008,2.0700047,1.2752435
4,1.9824915,1.0665886,1.7196174,1.0793391,1.7910486,1.0639064,1.8772438,1.1482807,1.9624194,1.1133486,2.1081612,1.0440359,2.090259,1.1169026,2.0666137,1.0444195,1.8397769,1.102405,2.076285,0.95657957,2.0893931,1.0361934,2.4428313,1.0763804,2.226338,1.0606093,1.9663004,1.145593,1.9844055,1.0055995,2.0365748,1.0919651
5,1.8686284,1.0479397,1.6165901,1.0272132,1.6427695,1.1277263,1.7362871,1.1369703,1.8852863,1.0452958,1.9523975,1.042652,1.8840818,1.1507311,1.8824743,0.9616446,1.7019312,1.1158713,1.8691106,0.9874743,1.845817,1.018064,2.192444,0.9727447,2.1532001,1.0189166,1.824255,1.0484328,1.8720428,1.0109558,1.9181255,1.1378272
6,1.6895027,1.0816602,1.5373104,1.0678221,1.5335636,1.2916623,1.7081561,1.1162331,1.7366145,0.99740547,1.7934593,1.0917825,1.79928,1.4836715,1.7668095,1.1288801,1.5937871,1.02393,1.86972,0.9384694,1.7290853,1.0260631,2.1398823,1.0143322,1.9641311,0.9623832,1.7964401,0.9894103,1.8210963,1.0513035,1.8419629,1.073656
7,1.582917,1.04182,1.4326187,1.0583823,1.4456307,0.98686004,1.6689018,1.0014167,1.5664489,1.0355253,1.6977842,1.0186658,1.7758614,0.9712291,1.6062014,0.9403298,1.4919832,0.96138656,1.7529467,0.9121057,1.6733603,0.91000885,2.030362,0.97494113,1.928508,1.154427,1.6560427,1.0019019,1.6640004,0.9428098,1.6452818,1.074494
8,1.52896,1.0180404,1.3990333,0.96640146,1.294523,1.075094,1.5416641,0.99548846,1.4995826,1.0585885,1.6541865,1.0209622,1.5895493,0.9760492,1.5408554,0.93697864,1.4078528,1.0965424,1.6732333,0.9204407,1.5405216,0.93501294,1.9139723,0.9415787,1.9037718,0.9680891,1.6127092,0.9277316,1.6428024,0.9827032,1.6209012,1.0941224
9,1.4979916,1.0242206,1.3122035,1.089971,1.2466465,0.94331056,1.4841193,0.9908892,1.4413869,0.99585426,1.5644126,1.0165942,1.4950632,0.94699705,1.5207121,0.92677766,1.4521636,0.9762001,1.5770632,0.89578617,1.4858522,1.0366216,1.709394,1.0153164,1.7559669,1.0118506,1.5432851,0.9220388,1.5792735,1.1671213,1.4893556,0.94947755
10,1.3903714,0.9549399,1.2596434,1.0066776,1.1932974,0.9603615,1.4700465,1.0801977,1.3624649,1.0103313,1.4577738,1.0522642,1.4140184,0.94078416,1.4089638,1.0846198,1.3885117,0.93024445,1.5448676,0.8879443,1.4402419,0.94535446,1.72672,0.90776634,1.7257911,0.9352566,1.441133,0.9339167,1.4844661,0.95481926,1.4129531,0.9928656
11,1.3334272,1.0221596,1.1794891,0.95079106,1.1413144,1.0526378,1.3604121,1.0252919,1.3358669,0.986649,1.4872854,0.9756783,1.3553257,1.0291473,1.3750211,0.91871333,1.301543,0.93115914,1.4761463,0.90533173,1.3720192,0.9339231,1.7082653,0.9111608,1.6122409,0.901759,1.3716425,0.8532796,1.5149505,0.9272124,1.3308382,0.95656043
12,1.2936785,0.9800195,1.1561413,0.9529125,1.0441316,0.9616492,1.3400942,1.0102016,1.1888958,0.9857326,1.3986198,0.91962415,1.2918972,0.94643253,1.2874836,0.9281352,1.2655857,0.9894764,1.4009355,0.9220703,1.326247,0.897085,1.5738206,0.91581064,1.5802227,0.9080525,1.3324951,0.88166946,1.4083593,1.0065696,1.2843357,0.94833565
13,1.2224712,1.0252374,1.0849854,1.0238963,1.0612122,0.9822872,1.278982,1.0216583,1.1565679,0.93993384,1.4115001,1.0181364,1.2898489,0.89354235,1.2289008,0.9364335,1.2072983,0.8773209,1.3505093,0.9741553,1.2838289,0.96464264,1.5345142,0.9454834,1.5379778,0.86842453,1.2655531,0.8942452,1.3621821,0.93430185,1.2621859,0.89550704
14,1.176376,1.0095475,1.108106,0.96069074,1.0378611,1.0399421,1.1788218,1.0204917,1.1251419,0.9420989,1.3330396,0.968049,1.2078223,0.99695206,1.1797544,0.9766549,1.1414435,0.922599,1.2899535,0.8744083,1.2307041,0.90781343,1.5241874,0.9024208,1.4284661,0.9188623,1.2227454,0.87093794,1.3280532,0.91809493,1.1928893,1.2301166
15,1.1334409,1.1066561,1.0325558,1.0536672,0.97857046,0.971099,1.2634978,1.0036694,1.1377333,0.89753604,1.2780321,0.9096357,1.1528182,1.0233269,1.1042973,1.2138966,1.1207701,0.8856598,1.2854615,0.91385496,1.1607524,0.8943173,1.4042261,0.89047927,1.4287599,0.97568506,1.1504799,1.0483314,1.2689189,0.9930919,1.1467077,0.9707846
16,1.1117427,0.99564046,1.009184,1.0059875,0.95132244,1.0055625,1.176768,0.9597135,1.0179443,1.1640171,1.2178721,1.0067098,1.0664536,1.0319746,1.0778223,0.9845783,1.0858495,0.9288221,1.2574785,0.88556904,1.1630539,0.88197505,1.3833452,0.9133513,1.3673515,0.9707675,1.1421881,0.97899824,1.1804153,0.8983155,1.1122386,0.90991104
17,1.0443637,0.9499412,0.97062683,1.0045254,0.86392653,1.0648136,1.1236871,1.0557141,1.0504514,0.92620903,1.1615735,1.0107358,1.162459,0.9145937,1.1102659,0.99341094,1.0599197,0.89184606,1.1566067,0.89812994,1.109971,0.9316274,1.3494043,0.89752436,1.3390303,1.0142709,1.1052274,0.95105326,1.1660197,1.1747229,1.1102619,0.9896148
18,1.0274537,0.9352343,0.92295974,1.0180464,0.86772746,1.0536598,1.070429,1.0068359,0.9352208,0.9422432,1.0861595,1.0042651,1.0493058,0.973934,1.0416567,0.95364535,0.9989848,1.0756721,1.1271361,0.9098793,1.0769832,0.9746379,1.284478,0.8972306,1.2447964,0.9294783,1.0930135,0.9692703,1.1340102,0.96157056,1.0137091,0.9836804
19,1.0132171,0.93317205,0.9060372,1.020142,0.81560993,1.0301934,1.0299935,0.9767004,0.9795492,0.9558726,1.0451876,1.033409,1.049088,0.9572513,0.9656895,0.98003167,0.98529065,0.93368995,1.1019571,0.9189731,1.0708349,0.926016,1.2363796,0.9391762,1.2680347,0.97207344,1.0204593,0.8827513,1.1129887,0.9690381,1.0116906,0.9147018
20,0.9123697,0.98023957,0.845118,1.0207888,1.526643,0.95041627,0.9661218,1.0233879,0.91855246,1.0119991,1.0022056,0.9796028,0.975347,0.9823143,0.9864145,0.9103516,0.9360805,1.0061991,1.0456843,0.9676397,1.044959,0.9087428,1.1960604,0.91285336,1.2238959,0.8954556,0.97601247,0.99040496,1.0789633,0.9760525,0.94509035,0.91864395
21,0.9180703,0.95241153,0.8492634,1.0255581,1.1820258,0.9792283,0.9803662,1.0312425,0.916353,1.0043619,0.964696,0.9889108,0.92822295,0.9686981,0.9379378,0.9472973,0.9297162,0.9248115,1.0033379,0.93279916,0.9782615,0.94768715,1.1604276,1.0079538,1.1447542,0.89614046,0.9685083,0.8660365,1.0782739,0.90830576,0.96367985,0.926577
22,0.9016332,1.0106019,1.5502695,0.90556514,1.1941718,0.9282223,0.9080243,1.0604846,0.8505986,0.9813887,0.9002387,0.9917316,0.9424672,0.9684063,0.92037493,1.0733925,0.94270396,0.9192979,1.037184,0.8941366,0.99073666,0.9280151,1.1290939,0.91069496,1.1147586,0.93704665,1.6057318,0.8286217,1.0108919,0.98235416,0.8857284,0.946885
23,0.8835448,0.97908986,1.3676987,0.8641983,1.0178853,0.9624057,0.9626064,1.0241106,0.8695946,0.9824958,0.9188564,0.98381037,0.9077921,1.0144993,0.9227656,0.98546124,0.92505354,0.9780938,0.98425144,0.92480344,0.9210506,0.9635507,1.1251781,0.91005456,1.1102954,0.899559,1.396789,0.8879988,0.99336904,0.925226,0.8655057,0.95165265
24,0.7979507,1.0073575,1.2289984,0.88927317,0.99399275,0.9142209,0.8987671,1.0440747,0.8303625,0.9927451,0.8929291,1.0020144,1.980728,0.86699325,0.86860454,0.96736866,1.7408338,0.8586479,0.9277334,0.93308336,0.88584596,0.99462485,1.0676988,0.9166259,1.7077847,0.8620085,1.3132459,0.8884485,0.9550905,1.0197045,1.7407886,0.93511313
25,0.7918932,1.0035228,1.1576668,0.89328355,0.92962563,0.90637743,0.8765078,1.066665,0.7921808,0.9796704,0.8581849,0.99338865,1.6031158,0.8254096,0.8668653,0.94312483,1.4727185,0.82020843,1.801892,0.8981576,0.89991456,0.9262131,1.0324397,1.063751,1.4894391,0.92391646,1.2282357,0.8996343,0.91971815,0.98117197,1.4899498,0.8077742
26,0.7684699,1.092071,1.1215254,0.91330856,0.88543606,0.9418201,0.8313808,1.0369387,1.8988765,0.88302547,1.6558472,0.9135053,1.514667,0.8256113,0.8144861,0.9585662,1.3721856,0.77497745,1.6126882,0.8091953,0.853182,0.93124473,1.8162154,0.8161233,1.3109177,0.80271465,1.1535499,0.9002839,0.9151548,0.98907304,1.4043845,0.91477555
27,0.7999641,0.9836974,1.0211974,0.8598033,0.81317276,0.9260766,1.4841526,0.988061,1.5975908,0.904815,1.3418574,0.88827723,1.393538,0.8489571,0.82777834,0.9865044,1.239834,0.8003536,1.406955,1.0025797,2.0265493,0.9306041,1.4448496,0.7901584,1.2352351,0.85680765,1.0911204,0.9219976,1.9282056,0.85300595,1.2758883,0.80344725
28,0.7399111,1.003838,1.0133802,0.89933985,0.8221747,0.9291633,1.1234834,1.0082257,1.49419,0.8647131,1.2340091,0.87268573,1.3009957,0.83630574,0.77156764,0.9965333,1.2750132,0.9382969,1.3291404,0.89704907,1.6687341,0.8231081,1.3534151,0.80252284,1.1346085,0.851833,1.0403652,0.88970596,1.5985475,0.92065775,1.2074753,0.9520215
29,0.7659053,1.0390023,0.99748105,0.95626205,0.7429495,0.9588645,1.0315944,0.9959011,1.4070227,0.8476352,1.1535761,0.8232677,1.1923637,0.93319684,0.7500846,0.9819229,1.1674775,0.7936753,1.1699506,0.87206364,1.556608,0.79958045,1.2602192,0.8098993,1.0848696,0.86957467,0.9901296,1.0112159,1.484662,1.0321168,1.1785634,1.1659429
30,1.5679106,1.0421312,0.9233515,0.9029709,0.6945769,0.9539734,0.9756665,0.9331882,1.2527081,0.8366131,1.0759645,0.878947,1.1624097,0.84846586,1.7033198,0.90643793,1.175216,0.85986245,1.2141738,0.93395305,1.4242544,0.84409773,1.1685542,0.8124201,1.0445706,0.8248916,0.9808658,0.959663,1.4232702,1.0591269,1.1050862,0.8300959
31,1.3008945,0.9215911,0.8748178,0.90710527,0.7997853,0.9790293,0.88939196,0.9692464,1.241206,0.82504976,1.0402819,0.8787778,1.0544412,0.8879055,1.3574966,0.8570352,1.0545839,0.8744386,1.1093531,0.88069546,1.3315834,0.80769694,1.139282,0.8368339,0.99923474,0.88801354,0.9707625,0.9229656,1.3294952,0.87779,1.0437412,0.9538456
32,1.1654965,0.9234255,0.8175414,0.9113859,0.6849756,0.95258033,0.8632176,0.93362224,1.1444297,0.848962,0.9903114,0.8449186,1.0007894,0.8981978,1.228014,0.91291344,1.0104126,0.8448104,1.0966864,0.84674054,1.1942878,0.8034655,1.0505024,0.83356684,0.9733509,0.8868663,0.91955376,1.043062,1.2390047,0.9048498,0.9540317,1.0019051
33,1.0301421,0.9197425,0.7886577,0.92648137,0.6367384,1.1275741,0.77636296,0.9459095,1.0623217,0.89165956,0.9033079,0.84822404,1.0109196,0.879041,1.1400714,0.8463432,1.0087751,0.8342378,1.0451674,0.87636024,1.1487511,0.84340656,1.0476156,0.8447627,0.9533465,0.84611,1.6543943,0.80471694,1.1849372,0.9082802,0.88948965,0.92275345
34,0.9451754,0.9520013,0.7931888,0.9372445,0.664787,0.98399943,0.7516753,0.9715269,1.0931666,0.8585015,0.89201975,0.84276646,0.9564615,0.8850118,1.0425338,0.95427626,0.9516695,0.96250623,0.9852475,0.8962795,1.1458074,0.8301474,0.9552401,0.8052494,0.908546,0.87049454,1.4192584,0.8148129,1.1214491,0.9792018,0.88750935,0.9145052
35,0.9830399,0.9764279,0.735981,0.91016376,0.6304049,1.0276194,0.75451684,0.97956014,0.98730356,0.88542825,0.8057358,0.9270188,1.0337673,0.867299,1.0301994,0.8960491,0.90620446,0.8968847,0.92820096,0.90143514,1.040737,0.8453602,0.93718064,0.8470974,0.85936946,0.9221652,1.2960153,0.836246,1.1131974,0.9429367,0.8738454,0.8963105
36,0.8651771,0.94708085,0.7573936,0.9094381,1.6199946,0.9015784,0.6705847,0.9567056,0.97106934,0.87268966,0.84729683,0.8770289,1.7390397,0.7745232,0.90429604,0.9117547,0.9120576,0.96429825,0.95279425,0.85346586,0.9820059,0.8862314,0.90122515,0.8150768,0.97116584,0.90199983,1.218823,0.80292374,1.0225352,0.9346893,0.8089835,0.86886084
